stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_IBNR
78048,,BRZEŹNICA,,49.9673471,19.6289564,,,,3044
78030,,JAŚKOWICE,,49.9617745,19.6752134,,,,3095
78022,,WIELKIE DROGI,,49.9595323,19.7109099,,,,3324
80135,,ZELCZYNA,,49.9610742,19.7460175,,,,3351
80127,,PODBORY SKAWIŃSKIE,,49.9664369,19.7722936,,,,3220
80119,,SKAWINA ZACHODNIA,,49.9731614,19.7927902,,,,3275
80101,,SKAWINA,,49.97714,19.8218725,,,,3274
262832,,SKAWINA JAGIELNIA,,49.9812614,19.8414692,,,,6410
80051,,KRAKÓW SIDZINA,,49.9855704,19.874778,,,,3136
262833,,KRAKÓW OPATKOWICE,,49.9888151,19.8994277,,,,3374
80044,,KRAKÓW SWOSZOWICE,,50.0004047,19.9280566,,,,3137
258460,,KRAKÓW SANKTUARIUM,,50.0139308,19.9342838,,,,3128
80036,,KRAKÓW ŁAGIEWNIKI,,50.0236052,19.9338581,,,,3126
80002,,KRAKÓW BONARKA,,50.0291738,19.9459341,,,,3125
239138,,KRAKÓW PODGÓRZE,,50.041108,19.9592118,,,,3368
79483,,PSTROSZYCE,,50.3991993,20.008334,,,,3069
64626,,TUNEL,,50.434986,19.9919779,,,,2270
64337,,KOZŁÓW,,50.4746022,20.0119761,,,,712
64352,,KLIMONTÓW,,50.5257903,20.0303811,,,,2108
64303,,SĘDZISZÓW,,50.5651847,20.0531817,,,,2212
262870,,KRAKÓW ZŁOCIEŃ,,50.0181501,20.0506785,,,,6582
79541,,KOKOTÓW,,50.017803,20.069731,,,,3117
79533,,WĘGRZCE WIELKIE,,50.0187218,20.1070461,,,,3320
79525,,PODŁĘŻE,,50.0189935,20.1652093,,,,3222
79632,,STANIĄTKI,,50.0106285,20.2067327,,,,3283
79723,,SZARÓW,,50.0095569,20.2563546,,,,3296
79681,,KŁAJ,,50.001865,20.3004724,,,,3112
79640,,STANISŁAWICE,,49.9919667,20.3545637,,,,3284
79756,,CIKOWICE,,49.98485,20.3808066,,,,3055
