ticketing_stop_id,stop_id,agency_id
10134,703753,246
10131,654054,246
10131,703738,246
10131,703739,246
10132,654055,246
10132,703741,246
10132,703742,246
10129,654044,246
10129,703724,246
10129,703725,246
10126,654047,246
10126,703728,246
10084,654041,246
10084,703718,246
10084,703719,246
10515,654040,246
10515,703717,246
11846,1841225,246
11846,1909853,246
11846,1909854,246
11844,1841226,246
11844,1909849,246
11844,1909850,246
11845,1841227,246
11845,1909851,246
11845,1909852,246
11847,1841228,246
11847,1909855,246
11847,1909856,246
11875,1841229,246
11875,1909809,246
11875,1909810,246
10200,654071,246
10200,703767,246
11874,1841230,246
11874,1909811,246
11874,1909812,246
10879,959962,246
10879,1015180,246
10879,1015181,246
10661,1062282,246
10661,1118808,246
10661,1118809,246
11027,1062281,246
11027,1118806,246
11027,1118807,246
10660,1062280,246
10660,1118804,246
10660,1118805,246
11069,2019953,246
11069,2091767,246
11069,2091768,246
10183,654088,246
10183,703799,246
10183,703800,246
10184,654091,246
10184,703806,246
10184,703807,246
10188,654097,246
10188,703815,246
10188,703827,246
10189,654100,246
10189,703821,246
10189,703830,246
10854,1799092,246
10854,1866358,246
10854,1866359,246
10182,654087,246
10182,703798,246
10182,703801,246
10186,654094,246
10186,703811,246
10186,703816,246
10187,654095,246
10187,703813,246
10187,703822,246
10185,654092,246
10185,703808,246
10185,703809,246
10521,836329,246
10521,889021,246
10521,889022,246
10524,836332,246
10524,889027,246
10525,836333,246
10525,889028,246
10525,889029,246
10523,836331,246
10523,889025,246
10523,889026,246
10522,836330,246
10522,889023,246
10522,889024,246
10323,771610,246
10323,824627,246
10323,824628,246
11101,1180828,246
11101,1235747,246
11101,1235748,246
10325,771608,246
10325,824623,246
10325,824624,246
10324,771609,246
10324,824625,246
10324,824626,246
12247,1841231,246
12247,1909498,246
12247,1909499,246
11672,1389702,246
11672,1450371,246
11672,1910169,246
11576,1497429,246
11576,1559116,246
11576,1559115,246
10165,654045,246
10165,703726,246
10170,654062,246
10170,703751,246
10170,703752,246
10169,654057,246
10169,703744,246
10169,703745,246
12215,1841234,246
12215,1910085,246
12215,1910086,246
12217,1841235,246
12217,1910089,246
12089,1841236,246
12089,1909824,246
12089,1909825,246
10166,654048,246
10166,703729,246
10166,703730,246
11766,1647821,246
11766,1717605,246
11766,1717606,246
10167,654053,246
10167,703737,246
10167,703740,246
12163,1841237,246
12163,1909801,246
12163,1909802,246
11372,1389896,246
11372,1450718,246
12216,1841238,246
12216,1910087,246
12216,1910088,246
11364,1389650,246
11364,1450277,246
11364,1450278,246
11343,1389722,246
11343,1450398,246
11344,1389724,246
11344,1450400,246
11344,1450401,246
10369,771566,246
10369,824536,246
10369,824537,246
10370,771565,246
10370,824534,246
10370,824535,246
11363,1389742,246
11363,1450434,246
